,Round,Date,Circuit,Winning_driver_TA2,Winning_vehicle_TA2,Winning_driver_TA1,Winning_vehicle_TA1
0,1,May 21,Sears Point,Greg Pickett,Chevrolet Corvette,Gene Bothello,Chevrolet Corvette
1,2,June 4,Westwood,Ludwig Heimrath,Porsche 935,Nick Engels,Chevrolet Corvette
2,3,June 11,Portland,Tuck Thomas,Chevrolet Monza,Bob Matkowitch,Chevrolet Corvette
3,4,June 25,Mont-Tremblant,Monte Sheldon,Porsche 935,Bob Tullius,Jaguar XJS
4,5,July 8,Watkins Glenâ€¡,"Hal Shaw, Jr.\n Monte Shelton",Porsche 935,Brian Fuerstenau\n Bob Tullius,Jaguar XJS
5,6,August 13,Brainerd,Jerry Hansen,Chevrolet Monza,Bob Tullius,Jaguar XJS
6,7,August 19,Mosport,Greg Pickett,Chevrolet Corvette,Bob Tullius,Jaguar XJS
7,8,September 4,Road America,Greg Pickett,Chevrolet Corvette,Bob Tullius,Jaguar XJS
8,9,October 8,Laguna Seca,Greg Pickett,Chevrolet Corvette,Bob Tullius,Jaguar XJS
9,10,November 5,Mexico City,Ludwig Heimrath,Porsche 935,Bob Tullius,Jaguar XJS
